,Home,Away,Time,Fixture,Score,Draw,Date,Home Team,Away Team,Home Odds,Away Odds,Draw Odds
18,7/10,221/50,19:00,Arsenal - Crystal Palace,0:0,287/100,14 Jan 2021,Arsenal , Crystal Palace,1.7,5.42,3.87
21,63/100,521/100,19:15,Tottenham - Fulham,1:1,289/100,13 Jan 2021,Tottenham , Fulham,1.63,6.21,3.89
22,9/50,83/5,17:00,Manchester City - Brighton,1:0,689/100,13 Jan 2021,Manchester City , Brighton,1.18,17.6,7.89
25,697/100,21/50,19:15,Burnley - Manchester Utd,0:1,98/25,12 Jan 2021,Burnley , Manchester Utd,7.97,1.42,4.92
26,163/100,219/100,19:15,Wolves - Everton,1:2,97/50,12 Jan 2021,Wolves , Everton,2.63,3.19,2.94
27,137/100,243/100,17:00,Sheffield Utd - Newcastle,1:0,54/25,12 Jan 2021,Sheffield Utd , Newcastle,2.37,3.43,3.16
30,103/20,51/100,19:00,Southampton - Liverpool,1:0,77/20,04 Jan 2021,Southampton , Liverpool,6.15,1.51,4.85
33,243/100,29/25,15:30,Chelsea - Manchester City,1:3,131/50,03 Jan 2021,Chelsea , Manchester City,3.43,2.16,3.62
34,519/100,3/5,13:15,Newcastle - Leicester,1:2,31/10,03 Jan 2021,Newcastle , Leicester,6.19,1.6,4.1
37,259/50,3/5,19:00,West Brom - Arsenal,0:4,153/50,02 Jan 2021,West Brom , Arsenal,6.18,1.6,4.06
38,37/20,91/50,16:30,Brighton - Wolves,3:3,207/100,02 Jan 2021,Brighton , Wolves,2.85,2.82,3.07
39,109/100,149/50,14:00,Crystal Palace - Sheffield Utd,2:0,229/100,02 Jan 2021,Crystal Palace , Sheffield Utd,2.09,3.98,3.29
40,43/50,77/25,11:30,Tottenham - Leeds,3:0,151/50,02 Jan 2021,Tottenham , Leeds,1.86,4.08,4.02
43,71/100,19/5,19:00,Manchester Utd - Aston Villa,2:1,159/50,01 Jan 2021,Manchester Utd , Aston Villa,1.71,4.8,4.18
44,61/50,239/100,16:30,Everton - West Ham,0:1,5/2,01 Jan 2021,Everton , West Ham,2.22,3.39,3.5
47,979/100,29/100,19:00,Newcastle - Liverpool,0:0,509/100,30 Dec 2020,Newcastle , Liverpool,10.79,1.29,6.09
50,11/20,107/20,19:00,Manchester Utd - Wolves,1:0,33/10,29 Dec 2020,Manchester Utd , Wolves,1.55,6.35,4.3
51,68/25,109/100,17:00,Brighton - Arsenal,0:1,5/2,29 Dec 2020,Brighton , Arsenal,3.72,2.09,3.5
52,141/100,227/100,17:00,Burnley - Sheffield Utd,1:0,111/50,29 Dec 2020,Burnley , Sheffield Utd,2.41,3.27,3.22
53,26/25,277/100,17:00,Southampton - West Ham,0:0,13/5,29 Dec 2020,Southampton , West Ham,2.04,3.77,3.6
54,82/25,81/100,17:00,West Brom - Leeds,0:5,151/50,29 Dec 2020,West Brom , Leeds,4.28,1.81,4.02
57,81/100,82/25,16:30,Chelsea - Aston Villa,1:1,76/25,28 Dec 2020,Chelsea , Aston Villa,1.81,4.28,4.04
58,119/50,31/25,14:00,Crystal Palace - Leicester,1:1,49/20,28 Dec 2020,Crystal Palace , Leicester,3.38,2.24,3.45
61,13/5,119/100,18:15,Wolves - Tottenham,1:1,237/100,27 Dec 2020,Wolves , Tottenham,3.6,2.19,3.37
62,13/100,2043/100,15:30,Liverpool - West Brom,1:1,211/25,27 Dec 2020,Liverpool , West Brom,1.13,21.43,9.44
63,69/50,11/5,13:15,West Ham - Brighton,2:2,117/50,27 Dec 2020,West Ham , Brighton,2.38,3.2,3.34
64,71/100,381/100,11:00,Leeds - Burnley,1:0,159/50,27 Dec 2020,Leeds , Burnley,1.71,4.81,4.18
67,13/100,989/50,19:00,Manchester City - Newcastle,2:0,35/4,26 Dec 2020,Manchester City , Newcastle,1.13,20.78,9.75
68,121/50,32/25,19:00,Sheffield Utd - Everton,0:1,58/25,26 Dec 2020,Sheffield Utd , Everton,3.42,2.28,3.32
69,387/100,3/4,16:30,Arsenal - Chelsea,3:1,291/100,26 Dec 2020,Arsenal , Chelsea,4.87,1.75,3.91
70,83/100,17/5,14:00,Aston Villa - Crystal Palace,3:0,72/25,26 Dec 2020,Aston Villa , Crystal Palace,1.83,4.4,3.88
71,189/100,79/50,14:00,Fulham - Southampton,0:0,117/50,26 Dec 2020,Fulham , Southampton,2.89,2.58,3.34
72,101/50,34/25,11:30,Leicester - Manchester Utd,2:2,259/100,26 Dec 2020,Leicester , Manchester Utd,3.02,2.36,3.59
75,29/50,479/100,19:00,Chelsea - West Ham,3:0,339/100,21 Dec 2020,Chelsea , West Ham,1.58,5.79,4.39
76,249/100,137/100,16:30,Burnley - Wolves,2:1,209/100,21 Dec 2020,Burnley , Wolves,3.49,2.37,3.09
79,373/100,73/100,18:15,West Brom - Aston Villa,0:3,309/100,20 Dec 2020,West Brom , Aston Villa,4.73,1.73,4.09
80,18/25,86/25,15:30,Manchester Utd - Leeds,6:2,337/100,20 Dec 2020,Manchester Utd , Leeds,1.72,4.44,4.37
81,111/100,53/20,13:15,Tottenham - Leicester,0:2,251/100,20 Dec 2020,Tottenham , Leicester,2.11,3.65,3.51
82,9/10,181/50,11:00,Brighton - Sheffield Utd,1:1,247/100,20 Dec 2020,Brighton , Sheffield Utd,1.9,4.62,3.47
85,93/50,159/100,19:00,Newcastle - Fulham,1:1,59/25,19 Dec 2020,Newcastle , Fulham,2.86,2.59,3.36
0,17/10,169/100,16:30,Everton - Arsenal,2:1,61/25,19 Dec 2020,Everton , Arsenal,2.7,2.69,3.44
1,257/50,13/25,14:00,Southampton - Manchester City,0:1,371/100,19 Dec 2020,Southampton , Manchester City,6.14,1.52,4.71
2,441/100,13/20,11:30,Crystal Palace - Liverpool,0:7,313/100,19 Dec 2020,Crystal Palace , Liverpool,5.41,1.65,4.13
5,319/50,9/20,19:00,Sheffield Utd - Manchester Utd,2:3,377/100,17 Dec 2020,Sheffield Utd , Manchester Utd,7.38,1.45,4.77
6,43/50,331/100,17:00,Aston Villa - Burnley,0:0,14/5,17 Dec 2020,Aston Villa , Burnley,1.86,4.31,3.8
9,39/20,39/25,19:00,Fulham - Brighton,0:0,231/100,16 Dec 2020,Fulham , Brighton,2.95,2.56,3.31
10,83/100,327/100,19:00,Liverpool - Tottenham,2:1,297/100,16 Dec 2020,Liverpool , Tottenham,1.83,4.27,3.97
11,29/25,64/25,19:00,West Ham - Crystal Palace,1:1,121/50,16 Dec 2020,West Ham , Crystal Palace,2.16,3.56,3.42
12,117/100,243/100,17:00,Arsenal - Southampton,1:1,127/50,16 Dec 2020,Arsenal , Southampton,2.17,3.43,3.54
13,3/5,223/50,17:00,Leeds - Newcastle,5:2,69/20,16 Dec 2020,Leeds , Newcastle,1.6,5.46,4.45
14,113/100,253/100,17:00,Leicester - Everton,0:2,51/20,16 Dec 2020,Leicester , Everton,2.13,3.53,3.55
17,1/10,2383/100,19:00,Manchester City - West Brom,1:1,1061/100,15 Dec 2020,Manchester City , West Brom,1.1,24.83,11.61
18,447/100,7/10,17:00,Wolves - Chelsea,2:1,141/50,15 Dec 2020,Wolves , Chelsea,5.47,1.7,3.82
21,23/50,323/50,18:15,Arsenal - Burnley,0:1,93/25,13 Dec 2020,Arsenal , Burnley,1.46,7.46,4.72
22,21/20,281/100,18:15,Leicester - Brighton,3:0,127/50,13 Dec 2020,Leicester , Brighton,2.05,3.81,3.54
23,186/25,9/25,15:30,Fulham - Liverpool,1:1,451/100,13 Dec 2020,Fulham , Liverpool,8.44,1.36,5.51
24,13/4,43/50,13:15,Crystal Palace - Tottenham,1:1,141/50,13 Dec 2020,Crystal Palace , Tottenham,4.25,1.86,3.82
25,13/20,227/50,11:00,Southampton - Sheffield Utd,3:0,303/100,13 Dec 2020,Southampton , Sheffield Utd,1.65,5.54,4.03
28,381/100,17/25,19:00,Everton - Chelsea,1:0,33/10,12 Dec 2020,Everton , Chelsea,4.81,1.68,4.3
29,91/25,18/25,16:30,Manchester Utd - Manchester City,0:0,163/50,12 Dec 2020,Manchester Utd , Manchester City,4.64,1.72,4.26
30,29/20,213/100,14:00,Newcastle - West Brom,2:1,9/4,12 Dec 2020,Newcastle , West Brom,2.45,3.13,3.25
31,79/50,193/100,11:30,Wolves - Aston Villa,0:1,227/100,12 Dec 2020,Wolves , Aston Villa,2.58,2.93,3.27
34,23/20,57/25,19:00,Leeds - West Ham,1:2,277/100,11 Dec 2020,Leeds , West Ham,2.15,3.28,3.77
37,73/50,201/100,19:00,Brighton - Southampton,1:2,12/5,07 Dec 2020,Brighton , Southampton,2.46,3.01,3.4
40,59/100,469/100,18:15,Liverpool - Wolves,4:0,167/50,06 Dec 2020,Liverpool , Wolves,1.59,5.69,4.34
41,121/100,12/5,15:30,Tottenham - Arsenal,2:0,251/100,06 Dec 2020,Tottenham , Arsenal,2.21,3.4,3.51
42,31/10,97/100,13:15,Sheffield Utd - Leicester,1:2,257/100,06 Dec 2020,Sheffield Utd , Leicester,4.1,1.97,3.57
43,203/100,37/25,11:00,West Brom - Crystal Palace,1:5,233/100,06 Dec 2020,West Brom , Crystal Palace,3.03,2.48,3.33
46,47/100,269/50,19:00,Chelsea - Leeds,3:1,403/100,05 Dec 2020,Chelsea , Leeds,1.47,6.38,5.03
47,49/20,59/50,16:30,West Ham - Manchester Utd,1:3,251/100,05 Dec 2020,West Ham , Manchester Utd,3.45,2.18,3.51
48,3/25,524/25,14:00,Manchester City - Fulham,2:0,473/50,05 Dec 2020,Manchester City , Fulham,1.12,21.96,10.46
49,139/50,21/20,11:30,Burnley - Everton,1:1,257/100,05 Dec 2020,Burnley , Everton,3.78,2.05,3.57
52,27/20,207/100,19:00,West Ham - Aston Villa,2:1,63/25,30 Nov 2020,West Ham , Aston Villa,2.35,3.07,3.52
53,31/50,118/25,16:30,Leicester - Fulham,1:2,63/20,30 Nov 2020,Leicester , Fulham,1.62,5.72,4.15
56,11/10,147/50,18:15,Arsenal - Wolves,1:2,233/100,29 Nov 2020,Arsenal , Wolves,2.1,3.94,3.33
57,51/50,14/5,15:30,Chelsea - Tottenham,0:0,269/100,29 Nov 2020,Chelsea , Tottenham,2.02,3.8,3.69
58,291/100,19/20,13:00,Southampton - Manchester Utd,2:3,11/4,29 Nov 2020,Southampton , Manchester Utd,3.91,1.95,3.75
61,167/100,48/25,19:00,West Brom - Sheffield Utd,1:0,43/20,28 Nov 2020,West Brom , Sheffield Utd,2.67,2.92,3.15
62,131/100,41/20,16:30,Everton - Leeds,0:1,67/25,28 Nov 2020,Everton , Leeds,2.31,3.05,3.68
63,13/100,1903/100,14:00,Manchester City - Burnley,5:0,947/100,28 Nov 2020,Manchester City , Burnley,1.13,20.03,10.47
64,197/50,67/100,11:30,Brighton - Liverpool,1:1,13/4,28 Nov 2020,Brighton , Liverpool,4.94,1.67,4.25
67,29/25,57/20,19:00,Crystal Palace - Newcastle,0:2,221/100,27 Nov 2020,Crystal Palace , Newcastle,2.16,3.85,3.21
70,34/25,231/100,19:00,Wolves - Southampton,1:1,9/4,23 Nov 2020,Wolves , Southampton,2.36,3.31,3.25
71,42/25,97/50,16:30,Burnley - Crystal Palace,1:0,53/25,23 Nov 2020,Burnley , Crystal Palace,2.68,2.94,3.12
74,79/100,84/25,18:15,Liverpool - Leicester,3:0,311/100,22 Nov 2020,Liverpool , Leicester,1.79,4.36,4.11
75,251/100,53/50,15:30,Leeds - Arsenal,0:0,71/25,22 Nov 2020,Leeds , Arsenal,3.51,2.06,3.84
76,213/100,37/25,13:00,Sheffield Utd - West Ham,0:1,111/50,22 Nov 2020,Sheffield Utd , West Ham,3.13,2.48,3.22
77,331/100,17/20,11:00,Fulham - Everton,2:3,283/100,22 Nov 2020,Fulham , Everton,4.31,1.85,3.83
80,8/25,839/100,19:00,Manchester Utd - West Brom,1:0,241/50,21 Nov 2020,Manchester Utd , West Brom,1.32,9.39,5.82
81,81/25,81/100,16:30,Tottenham - Manchester City,2:0,79/25,21 Nov 2020,Tottenham , Manchester City,4.24,1.81,4.16
0,13/10,43/20,14:00,Aston Villa - Brighton,1:2,51/20,21 Nov 2020,Aston Villa , Brighton,2.3,3.15,3.55
1,31/5,9/20,11:30,Newcastle - Chelsea,0:2,191/50,21 Nov 2020,Newcastle , Chelsea,7.2,1.45,4.82
4,13/20,409/100,18:15,Arsenal - Aston Villa,0:3,169/50,08 Nov 2020,Arsenal , Aston Villa,1.65,5.09,4.38
5,93/100,267/100,15:30,Manchester City - Liverpool,1:1,161/50,08 Nov 2020,Manchester City , Liverpool,1.93,3.67,4.22
6,137/100,119/50,13:00,Leicester - Wolves,1:0,217/100,08 Nov 2020,Leicester , Wolves,2.37,3.38,3.17
7,551/100,51/100,11:00,West Brom - Tottenham,0:1,183/50,08 Nov 2020,West Brom , Tottenham,6.51,1.51,4.66
10,43/50,321/100,19:00,West Ham - Fulham,1:0,287/100,07 Nov 2020,West Ham , Fulham,1.86,4.21,3.87
11,39/100,773/100,16:30,Chelsea - Sheffield Utd,4:1,403/100,07 Nov 2020,Chelsea , Sheffield Utd,1.39,8.73,5.03
12,187/100,151/100,14:00,Crystal Palace - Leeds,4:1,5/2,07 Nov 2020,Crystal Palace , Leeds,2.87,2.51,3.5
13,9/4,123/100,11:30,Everton - Manchester Utd,1:3,53/20,07 Nov 2020,Everton , Manchester Utd,3.25,2.23,3.65
16,29/25,127/50,19:00,Southampton - Newcastle,2:0,62/25,06 Nov 2020,Southampton , Newcastle,2.16,3.54,3.48
17,51/50,321/100,16:30,Brighton - Burnley,0:0,243/100,06 Nov 2020,Brighton , Burnley,2.02,4.21,3.43
20,36/25,93/50,19:00,Leeds - Leicester,1:4,133/50,02 Nov 2020,Leeds , Leicester,2.44,2.86,3.66
21,36/25,211/100,16:30,Fulham - West Brom,2:0,23/10,02 Nov 2020,Fulham , West Brom,2.44,3.11,3.3
24,59/100,97/20,18:15,Tottenham - Brighton,2:1,33/10,01 Nov 2020,Tottenham , Brighton,1.59,5.85,4.3
25,1/1,73/25,15:30,Manchester Utd - Arsenal,0:1,263/100,01 Nov 2020,Manchester Utd , Arsenal,2.0,3.92,3.63
26,239/100,32/25,13:00,Newcastle - Everton,2:1,59/25,01 Nov 2020,Newcastle , Everton,3.39,2.28,3.36
27,8/5,43/25,11:00,Aston Villa - Southampton,3:4,257/100,01 Nov 2020,Aston Villa , Southampton,2.6,2.72,3.57
30,43/100,153/25,16:30,Liverpool - West Ham,2:1,421/100,31 Oct 2020,Liverpool , West Ham,1.43,7.12,5.21
31,117/25,3/5,14:00,Burnley - Chelsea,0:3,82/25,31 Oct 2020,Burnley , Chelsea,5.68,1.6,4.28
32,489/50,29/100,11:30,Sheffield Utd - Manchester City,0:1,509/100,31 Oct 2020,Sheffield Utd , Manchester City,10.78,1.29,6.09
35,53/50,83/25,19:00,Wolves - Crystal Palace,2:0,54/25,30 Oct 2020,Wolves , Crystal Palace,2.06,4.32,3.16
38,477/100,29/50,19:00,Burnley - Tottenham,0:1,337/100,26 Oct 2020,Burnley , Tottenham,5.77,1.58,4.37
39,17/25,207/50,16:30,Brighton - West Brom,1:1,153/50,26 Oct 2020,Brighton , West Brom,1.68,5.14,4.06
42,19/20,317/100,18:15,Arsenal - Leicester,0:1,64/25,25 Oct 2020,Arsenal , Leicester,1.95,4.17,3.56
43,21/25,393/100,15:30,Wolves - Newcastle,1:1,249/100,25 Oct 2020,Wolves , Newcastle,1.84,4.93,3.49
44,207/100,133/100,13:00,Southampton - Everton,2:0,257/100,25 Oct 2020,Southampton , Everton,3.07,2.33,3.57
47,21/100,243/20,19:00,Liverpool - Sheffield Utd,2:1,319/50,24 Oct 2020,Liverpool , Sheffield Utd,1.21,13.15,7.38
48,81/50,7/4,16:30,Manchester Utd - Chelsea,0:0,249/100,24 Oct 2020,Manchester Utd , Chelsea,2.62,2.75,3.49
49,8/5,197/100,14:00,Fulham - Crystal Palace,1:2,219/100,24 Oct 2020,Fulham , Crystal Palace,2.6,2.97,3.19
50,293/50,11/25,11:30,West Ham - Manchester City,1:1,104/25,24 Oct 2020,West Ham , Manchester City,6.86,1.44,5.16
53,23/25,277/100,19:00,Aston Villa - Leeds,0:3,151/50,23 Oct 2020,Aston Villa , Leeds,1.92,3.77,4.02
56,3/2,39/20,19:00,Leeds - Wolves,0:1,239/100,19 Oct 2020,Leeds , Wolves,2.5,2.95,3.39
57,161/100,19/10,16:30,West Brom - Burnley,0:0,229/100,19 Oct 2020,West Brom , Burnley,2.61,2.9,3.29
60,139/100,197/100,18:15,Leicester - Aston Villa,0:1,261/100,18 Oct 2020,Leicester , Aston Villa,2.39,2.97,3.61
61,16/25,112/25,15:30,Tottenham - West Ham,3:3,16/5,18 Oct 2020,Tottenham , West Ham,1.64,5.48,4.2
62,213/100,73/50,13:00,Crystal Palace - Brighton,1:1,56/25,18 Oct 2020,Crystal Palace , Brighton,3.13,2.46,3.24
63,131/100,62/25,11:00,Sheffield Utd - Fulham,1:1,219/100,18 Oct 2020,Sheffield Utd , Fulham,2.31,3.48,3.19
66,367/100,73/100,19:00,Newcastle - Manchester Utd,1:4,16/5,17 Oct 2020,Newcastle , Manchester Utd,4.67,1.73,4.2
67,27/50,471/100,16:30,Manchester City - Arsenal,1:0,19/5,17 Oct 2020,Manchester City , Arsenal,1.54,5.71,4.8
68,29/50,449/100,14:00,Chelsea - Southampton,3:3,177/50,17 Oct 2020,Chelsea , Southampton,1.58,5.49,4.54
69,321/100,79/100,11:30,Everton - Liverpool,2:2,161/50,17 Oct 2020,Everton , Liverpool,4.21,1.79,4.22
72,291/50,23/50,18:15,Aston Villa - Liverpool,7:2,393/100,04 Oct 2020,Aston Villa , Liverpool,6.82,1.46,4.93
73,27/25,261/100,15:30,Manchester Utd - Tottenham,1:6,53/20,04 Oct 2020,Manchester Utd , Tottenham,2.08,3.61,3.65
74,1/2,613/100,13:00,Arsenal - Sheffield Utd,2:1,169/50,04 Oct 2020,Arsenal , Sheffield Utd,1.5,7.13,4.38
75,79/100,421/100,13:00,Wolves - Fulham,1:0,63/25,04 Oct 2020,Wolves , Fulham,1.79,5.21,3.52
76,83/100,163/50,11:00,Leicester - West Ham,0:3,59/20,04 Oct 2020,Leicester , West Ham,1.83,4.26,3.95
77,43/50,323/100,11:00,Southampton - West Brom,2:0,14/5,04 Oct 2020,Southampton , West Brom,1.86,4.23,3.8
80,141/100,54/25,19:00,Newcastle - Burnley,3:1,229/100,03 Oct 2020,Newcastle , Burnley,2.41,3.16,3.29
81,149/20,29/100,16:30,Leeds - Manchester City,1:1,149/25,03 Oct 2020,Leeds , Manchester City,8.45,1.29,6.96
0,79/100,371/100,14:00,Everton - Brighton,4:2,139/50,03 Oct 2020,Everton , Brighton,1.79,4.71,3.78
1,53/100,559/100,11:30,Chelsea - Crystal Palace,4:0,84/25,03 Oct 2020,Chelsea , Crystal Palace,1.53,6.59,4.36
4,49/100,491/100,19:00,Liverpool - Arsenal,3:1,104/25,28 Sep 2020,Liverpool , Arsenal,1.49,5.91,5.16
5,51/25,141/100,16:45,Fulham - Aston Villa,0:3,121/50,28 Sep 2020,Fulham , Aston Villa,3.04,2.41,3.42
8,59/25,129/100,18:00,West Ham - Wolves,4:0,58/25,27 Sep 2020,West Ham , Wolves,3.36,2.29,3.32
9,8/25,831/100,15:30,Manchester City - Leicester,2:5,493/100,27 Sep 2020,Manchester City , Leicester,1.32,9.31,5.93
10,21/50,681/100,13:00,Tottenham - Newcastle,1:1,389/100,27 Sep 2020,Tottenham , Newcastle,1.42,7.81,4.89
11,39/20,149/100,11:00,Sheffield Utd - Leeds,0:1,12/5,27 Sep 2020,Sheffield Utd , Leeds,2.95,2.49,3.4
14,57/25,129/100,19:00,Burnley - Southampton,0:1,241/100,26 Sep 2020,Burnley , Southampton,3.28,2.29,3.41
15,147/25,23/50,16:30,West Brom - Chelsea,3:3,191/50,26 Sep 2020,West Brom , Chelsea,6.88,1.46,4.82
16,257/100,119/100,14:00,Crystal Palace - Everton,1:2,59/25,26 Sep 2020,Crystal Palace , Everton,3.57,2.19,3.36
17,221/50,63/100,11:30,Brighton - Manchester Utd,2:3,319/100,26 Sep 2020,Brighton , Manchester Utd,5.42,1.63,4.19
20,147/25,49/100,19:15,Wolves - Manchester City,1:3,359/100,21 Sep 2020,Wolves , Manchester City,6.88,1.49,4.59
21,73/50,11/5,17:00,Aston Villa - Sheffield Utd,1:0,109/50,21 Sep 2020,Aston Villa , Sheffield Utd,2.46,3.2,3.18
24,11/20,547/100,18:00,Leicester - Burnley,4:2,323/100,20 Sep 2020,Leicester , Burnley,1.55,6.47,4.23
25,243/100,107/100,15:30,Chelsea - Liverpool,0:2,143/50,20 Sep 2020,Chelsea , Liverpool,3.43,2.07,3.86
26,41/25,48/25,13:00,Newcastle - Brighton,0:3,11/5,20 Sep 2020,Newcastle , Brighton,2.64,2.92,3.2
27,239/100,5/4,11:00,Southampton - Tottenham,2:5,12/5,20 Sep 2020,Southampton , Tottenham,3.39,2.25,3.4
30,1/2,143/25,19:00,Arsenal - West Ham,2:1,88/25,19 Sep 2020,Arsenal , West Ham,1.5,6.72,4.52
31,37/100,8/1,16:30,Manchester Utd - Crystal Palace,1:3,413/100,19 Sep 2020,Manchester Utd , Crystal Palace,1.37,9.0,5.13
32,73/100,103/25,14:00,Leeds - Fulham,4:3,143/50,19 Sep 2020,Leeds , Fulham,1.73,5.12,3.86
33,59/100,529/100,11:30,Everton - West Brom,5:2,309/100,19 Sep 2020,Everton , West Brom,1.59,6.29,4.09
36,507/100,14/25,19:15,Brighton - Chelsea,1:3,343/100,14 Sep 2020,Brighton , Chelsea,6.07,1.56,4.43
37,57/25,161/100,17:00,Sheffield Utd - Wolves,0:2,189/100,14 Sep 2020,Sheffield Utd , Wolves,3.28,2.61,2.89
40,27/25,283/100,15:30,Tottenham - Everton,0:1,243/100,13 Sep 2020,Tottenham , Everton,2.08,3.83,3.43
41,117/50,32/25,13:00,West Brom - Leicester,0:3,59/25,13 Sep 2020,West Brom , Leicester,3.34,2.28,3.36
44,51/50,57/20,19:00,West Ham - Newcastle,0:2,131/50,12 Sep 2020,West Ham , Newcastle,2.02,3.85,3.62
45,27/100,251/25,16:30,Liverpool - Leeds,4:3,263/50,12 Sep 2020,Liverpool , Leeds,1.27,11.04,6.26
46,209/100,37/25,14:00,Crystal Palace - Southampton,1:0,113/50,12 Sep 2020,Crystal Palace , Southampton,3.09,2.48,3.26
47,111/25,67/100,11:30,Fulham - Arsenal,0:3,149/50,12 Sep 2020,Fulham , Arsenal,5.44,1.67,3.98
